Country;Product;Import Export;Shipping Method;Port;Category;Quantity;Value;Date;Customs Code;Weight
Comoros;professor;Export;Land;Craigfurt;Clothing;8022;3483.02;23/08/2021;406296;2499.94
Somalia;second;Export;Sea;Phillipston;Clothing;1875;7682.54;02/01/2022;805707;4277.87
Bahrain;total;Export;Land;West Kathy;Electronics;4203;7310.78;31/12/2022;301412;1884.3
Uzbekistan;wrong;Export;Land;Port Jillian;Toys;2599;234.18;20/10/2021;170354;4093.91
Saint Barthelemy;black;Export;Air;East Timothyside;Electronics;823;5042.25;16/12/2023;918325;2160.69
Azerbaijan;politics;Export;Air;New Kevin;Toys;4050;5235.61;30/01/2024;541051;1549.01
Burundi;trip;Export;Land;Hardingfurt;Toys;2702;7249.76;05/02/2020;814565;4680.46
French Guiana;practice;Export;Sea;Wilsonside;Toys;4085;536.93;23/08/2023;548662;3563.29
Peru;usually;Export;Land;Zacharytown;Machinery;2547;6040.9;12/07/2023;344444;1919.08
Korea;nothing;Export;Sea;New Eileen;Electronics;7109;7721.57;26/02/2020;746014;256.24
Timor-Leste;debate;Export;Sea;East Robert;Machinery;2222;1433.11;12/05/2021;831514;1320.18
Bosnia and Herzegovina;learn;Export;Land;Greenmouth;Electronics;8461;7531.06;20/03/2021;199645;4863.21
Paraguay;see;Export;Air;Deleonmouth;Clothing;3066;4674.72;02/05/2022;730907;3475.23
Singapore;will;Export;Land;New Ericburgh;Machinery;6176;9059.78;26/11/2020;221373;1540.92
Maldives;way;Export;Air;West Randyport;Furniture;2071;7530.12;29/09/2021;795637;94.05
United States Minor Outlying Islands;second;Export;Air;Lake Sethhaven;Furniture;3547;466.72;27/08/2021;836290;3969.58
Australia;brother;Export;Land;Kennedyhaven;Toys;7468;7522.72;22/02/2021;319441;2555.41
Nigeria;special;Export;Land;North Meganberg;Furniture;5305;6222.95;27/12/2021;636777;1876.56
Mozambique;heart;Export;Air;Graybury;Furniture;2263;8121.87;10/02/2021;104851;53.12
Bhutan;huge;Export;Land;Johnsonport;Toys;3993;6961.75;06/03/2021;569580;518.06
Antigua and Barbuda;administration;Export;Air;Pottershire;Toys;1168;2110.01;24/09/2021;539003;2308.93
Jersey;eight;Export;Sea;Susanshire;Toys;4470;9014.26;10/08/2024;391500;3264.82
Benin;time;Export;Air;Dustinshire;Clothing;5254;5274.54;25/08/2022;741543;4178.28
Singapore;tend;Export;Land;New Mauriceshire;Toys;7351;5528.77;27/10/2019;795553;614.23
Korea;fight;Export;Land;Kimberlyhaven;Electronics;5762;8111.43;14/06/2020;877508;343.07
Isle of Man;six;Export;Land;Fowlerborough;Furniture;1015;4088.65;18/11/2020;797791;233.94
Canada;especially;Export;Land;Lake Laura;Toys;3894;3599.62;27/01/2023;730598;2278.67
American Samoa;rise;Export;Land;South Sandra;Furniture;1077;4379.01;12/11/2020;614915;4710.03
Saudi Arabia;life;Export;Air;Davisberg;Electronics;9744;2566.08;27/05/2021;819176;1077.08
Ukraine;out;Export;Land;East Kathleenport;Electronics;7720;8652.45;23/07/2024;284308;4305.98
Bermuda;whole;Export;Sea;Whiteview;Machinery;6062;7005.68;16/12/2023;870395;2845.2
Slovenia;kid;Export;Air;West Lisaton;Furniture;5539;4824.08;28/06/2023;772261;1117.5
Malta;those;Export;Air;New Christianfort;Machinery;1293;546.36;23/12/2022;659674;4866.49
Thailand;prove;Export;Sea;Port Danielton;Machinery;6552;7751.75;04/02/2020;179983;2285.8
Zimbabwe;drive;Export;Sea;South Danielle;Furniture;6055;6104.18;25/01/2024;828341;1082.6
Saudi Arabia;consider;Export;Sea;Port Bradleystad;Machinery;3403;5888.74;04/11/2023;838487;1721.75
Marshall Islands;role;Export;Air;New Amyview;Electronics;3310;8767.14;03/04/2021;101117;3215.43
Congo;shake;Export;Air;Susanfurt;Clothing;9552;2747.43;19/04/2024;837687;1590.9
Falkland Islands (Malvinas);including;Export;Sea;East Arielberg;Machinery;508;6961.35;14/01/2021;709569;4964.21
Guatemala;form;Export;Sea;Port Edwardside;Clothing;3151;4018.74;24/12/2019;519141;644.46
Czech Republic;camera;Export;Sea;Baileymouth;Machinery;8227;6033.39;01/01/2024;549981;544.05
Saint Martin;treat;Export;Sea;Stewartfurt;Electronics;4862;3282.46;20/12/2019;292427;1449.65
Kenya;year;Export;Sea;Lynchfort;Machinery;8389;1603.36;08/03/2021;280162;4155.65
Tajikistan;really;Export;Sea;Williamborough;Electronics;3320;8604.45;10/03/2021;543855;1184.55
Croatia;practice;Export;Air;Davidport;Electronics;8980;4208.54;19/06/2022;598195;1675.17
Turks and Caicos Islands;professional;Export;Land;New Nicole;Machinery;766;5712.37;27/11/2020;552271;3001.07
Denmark;remember;Export;Air;Hannahport;Machinery;5691;6495.18;07/03/2023;536245;1627.61
Anguilla;call;Export;Land;Port Rickey;Machinery;8483;7513.78;02/06/2024;733834;2712.89
Northern Mariana Islands;fine;Export;Air;Port Susan;Electronics;8838;1201.24;25/03/2023;273778;633.2
Svalbard & Jan Mayen Islands;manager;Export;Sea;Emilyside;Toys;2920;999.85;12/10/2023;247471;4821.32
Sri Lanka;no;Export;Air;Lake Shelley;Electronics;1331;8715.08;13/04/2022;309253;729.05
Comoros;drug;Export;Land;East Theresa;Furniture;1038;410.22;23/04/2021;842461;4809.41
Kuwait;oil;Export;Sea;South Crystalchester;Toys;4710;6655.92;23/06/2022;568851;332.97
Christmas Island;community;Export;Air;South Edward;Electronics;7700;7404.04;15/08/2024;417191;593.83
Guadeloupe;measure;Export;Land;Wilsonview;Electronics;895;7209.37;04/08/2022;760742;628.76
Tonga;can;Export;Sea;North Joel;Furniture;4332;4405.07;01/04/2021;846270;4667.46
Equatorial Guinea;just;Export;Air;North Benjamin;Toys;2160;246.85;09/03/2020;792140;2761.64
Venezuela;relationship;Export;Sea;New Melanie;Electronics;917;6206.45;31/12/2021;808225;4926.66
Grenada;store;Export;Land;North Pamelashire;Electronics;7052;5948.25;01/05/2021;766891;761.87
Cuba;may;Export;Sea;Jenniferborough;Toys;1094;5668.36;11/05/2023;590952;3297.79
Aruba;picture;Export;Air;Lopezbury;Clothing;4193;8390.11;07/10/2023;901791;1002.37
Chad;if;Export;Sea;Port John;Furniture;3744;6503.16;29/02/2020;193548;3896.27
Iran;also;Export;Air;Port Katherinebury;Furniture;8857;1390.31;17/05/2024;837508;695.35
Liechtenstein;your;Export;Land;Lake Markborough;Toys;2597;7905.2;24/10/2019;355941;2627.69
Portugal;rich;Export;Land;Smithview;Electronics;7680;6020.1;04/04/2022;690720;1686.73
Bolivia;woman;Export;Sea;North Josemouth;Machinery;9278;3337.04;04/12/2022;270545;2844.59
Lesotho;agency;Export;Air;Lopezborough;Machinery;826;955.63;16/03/2020;140263;4703.54
Tanzania;medical;Export;Air;Sextonshire;Electronics;6846;715.11;19/08/2020;729810;582.74
China;respond;Export;Air;South Devonberg;Toys;1961;8683.83;12/02/2024;562624;228.69
Kuwait;Mrs;Export;Air;West Danaborough;Furniture;3122;6153.76;29/12/2023;466629;1119.98
Falkland Islands (Malvinas);recent;Export;Land;New Bradley;Clothing;5712;1336.29;12/02/2023;324172;1058.08
French Polynesia;single;Export;Sea;Lake Richardchester;Toys;3542;1972.54;14/06/2023;551869;375.46
Ethiopia;fund;Export;Land;East Amandaland;Toys;6990;5985.74;27/09/2022;588214;494.6
Cuba;those;Export;Air;Manuelmouth;Toys;3656;5803.43;02/04/2024;228184;4979.14
Dominica;network;Export;Air;Lake Monicaside;Machinery;2609;7360.72;14/11/2019;907600;4801.99
Poland;house;Export;Land;Stoneview;Clothing;5105;5270.12;02/07/2024;531050;1131.73
Romania;be;Export;Sea;Wrighttown;Electronics;588;9536.93;15/04/2023;120308;3302.59
French Polynesia;member;Export;Air;New Austinland;Clothing;3104;9636.8;22/01/2022;119410;2505.51
Grenada;both;Export;Air;Patrickmouth;Electronics;6534;2253.3;16/07/2023;707077;2038.88
Slovakia (Slovak Republic);way;Export;Sea;New Jocelyn;Machinery;6888;4766.33;05/09/2021;284306;1857.75
Armenia;think;Export;Land;Delgadochester;Furniture;1484;4580.11;04/10/2022;998844;613.74
Georgia;role;Export;Sea;West Jeffrey;Machinery;4217;5606.73;10/11/2022;164571;4868.62
Anguilla;throw;Export;Sea;Christopherberg;Toys;7022;3154.73;30/08/2023;998503;1811.88
Palau;knowledge;Export;Land;Shawnfort;Furniture;8273;4219.26;13/12/2021;708648;4878.33
Canada;wish;Export;Land;Batesfort;Machinery;9885;5135.19;26/12/2021;468380;2721.28
Gambia;man;Export;Sea;Port Kellyborough;Furniture;7750;6886.68;28/07/2023;240623;1828.22
Palestinian Territory;myself;Export;Air;Archerview;Machinery;5605;5921.39;07/09/2020;475691;3978.43
Chile;sea;Export;Air;Port Devinmouth;Machinery;8105;5950.64;06/09/2023;498312;3471.49
Mozambique;them;Export;Air;Christopherchester;Machinery;7737;6956.88;21/05/2021;984970;1944.97
Pakistan;glass;Export;Sea;Castroborough;Electronics;7043;5866.85;13/07/2023;243659;1774.99
Hungary;seek;Export;Land;Roweborough;Electronics;225;2178.37;19/11/2021;130642;708.47
Mali;box;Export;Sea;Port Shannon;Clothing;1489;5865.7;03/09/2022;747762;4301
Montserrat;for;Export;Sea;East Lori;Furniture;9024;5602.62;13/01/2023;379560;2793.24
Congo;college;Export;Land;West William;Machinery;2480;6470.86;04/05/2023;149048;4231.41
Brunei Darussalam;draw;Export;Land;West Danielchester;Machinery;3509;4545.84;10/10/2021;167727;2408.83
Anguilla;look;Export;Air;Johnhaven;Machinery;1180;3715.5;01/12/2023;149982;1539.18
Falkland Islands (Malvinas);maintain;Export;Air;Vickiton;Clothing;5953;5922.37;06/06/2022;266510;794.12
Monaco;old;Export;Sea;Robinsonfort;Clothing;6333;4049.87;03/06/2023;766056;3877.31
Bahamas;difficult;Export;Air;Port Douglasberg;Furniture;3819;4598.09;31/03/2023;642431;442.52
Saint Helena;ahead;Export;Land;North Kathryntown;Furniture;5580;4098.24;09/03/2020;132545;3837.8
Christmas Island;certainly;Export;Land;Kariburgh;Machinery;1797;7449.55;26/11/2019;986065;4008.91
Marshall Islands;production;Export;Air;Lake Jose;Furniture;2636;2907.69;04/08/2022;439739;1849.46
Gabon;ready;Export;Air;Veronicaburgh;Furniture;4504;4852.22;26/11/2019;353447;4525.32
Bhutan;sense;Export;Sea;Juliemouth;Electronics;1431;1190.77;30/07/2024;640003;4741.13
Paraguay;treat;Export;Sea;South Ginaport;Electronics;477;2940.86;19/12/2020;279870;3262.88
Costa Rica;he;Export;Air;New Laura;Clothing;3250;356.52;02/04/2021;339747;3183.09
Poland;word;Export;Land;New Keith;Electronics;9191;258.44;06/02/2023;458958;4166.24
Malta;month;Export;Sea;Cruzland;Furniture;6560;7431.87;04/12/2021;543032;3275.19
Madagascar;move;Export;Land;Bennettfurt;Toys;3831;4368.48;07/02/2020;418138;1196.86
Sudan;into;Export;Sea;North Keith;Furniture;5626;3328.45;16/04/2021;388037;1442.5
Costa Rica;very;Export;Land;North Lawrence;Electronics;653;3367.11;18/10/2022;420318;4110.06
Micronesia;maintain;Export;Sea;New Karina;Electronics;6704;3521.55;31/12/2020;421035;890.65
Denmark;sometimes;Export;Land;South Stephanie;Toys;2014;6371.32;05/08/2023;488906;2274.34
Vanuatu;PM;Export;Sea;Lake Michellefort;Clothing;2927;7008.54;17/03/2022;509225;474.04
Netherlands Antilles;music;Export;Air;New Sarahshire;Toys;3722;6803.95;20/11/2019;801856;170.16
Papua New Guinea;behavior;Export;Land;Port Amanda;Machinery;9833;5002.48;03/01/2022;579712;4653.41
Malawi;own;Export;Land;Melissahaven;Clothing;9779;9244.38;29/09/2022;206838;1560.93
Israel;director;Export;Air;Eugeneberg;Furniture;6768;623.84;04/12/2020;143139;3788.86
Liechtenstein;certainly;Export;Sea;Markhaven;Machinery;1567;7681.33;19/09/2023;849817;900.18
Montserrat;material;Export;Land;Lake Daniel;Clothing;77;5358.41;08/08/2021;569205;2836.48
Georgia;others;Export;Land;Lindaberg;Machinery;3039;667.07;12/11/2019;127943;4661.66
Uzbekistan;improve;Export;Air;Shawton;Machinery;2646;1709.34;26/10/2022;367044;3272.58
Maldives;its;Export;Air;North Dawnport;Machinery;8467;8438.02;26/08/2020;544580;2466.08
Mali;growth;Export;Land;New Deanna;Clothing;9713;906.67;02/05/2021;182244;4598.05
Malawi;reach;Export;Air;Port Kevin;Machinery;2788;2960.86;24/09/2022;652087;4352.73
Fiji;probably;Export;Sea;New Deborahview;Electronics;1286;3082.37;29/07/2022;934792;4962.92
Mexico;music;Export;Sea;Taylorland;Clothing;8019;5818.35;31/07/2022;342258;3126.67
Zimbabwe;southern;Export;Land;Lake Melvin;Furniture;5086;5964.2;28/02/2020;516180;4316.35
Slovakia (Slovak Republic);scene;Export;Land;Melaniemouth;Clothing;3598;6408.86;17/09/2021;473321;2929.04
Sweden;half;Export;Air;West Matthewland;Furniture;1242;1720.36;01/06/2023;733789;3998.8
Pakistan;political;Export;Air;South Jeffery;Electronics;7675;3870.35;20/11/2020;310385;1640.1
Fiji;tell;Export;Air;Sanfordshire;Electronics;4722;7372.77;12/01/2022;491092;4525.9
Pakistan;country;Export;Land;North Juanstad;Machinery;9299;8101.8;25/04/2024;101999;3448.75
United Kingdom;cost;Export;Air;South Brian;Clothing;6223;1566.24;01/08/2023;330304;1129.26
Iceland;American;Export;Air;Garrettburgh;Electronics;3322;4261.29;05/12/2019;182038;791.96
Nigeria;deal;Export;Air;West Brian;Machinery;2229;5312.83;30/03/2020;436626;710.39
Turkmenistan;side;Export;Sea;Tylerchester;Machinery;3890;5593.26;09/04/2023;617190;536.56
Martinique;yard;Export;Land;Nicholashaven;Furniture;3614;8315.73;05/11/2021;558763;955.3
Faroe Islands;movie;Export;Land;North Jadetown;Clothing;9728;1051.51;19/12/2022;436680;2052.73
Angola;product;Export;Land;Rachelmouth;Machinery;1264;3876.04;06/01/2024;964665;3255.87
Guinea-Bissau;simply;Export;Sea;Wilsonhaven;Machinery;7808;8644.48;04/05/2020;759267;1793.33
Algeria;data;Export;Land;Velasquezchester;Clothing;8720;8598.19;28/10/2019;526564;3498.43
Greece;though;Export;Air;Lake Dillonfort;Machinery;6276;957.62;22/08/2022;793028;3891.14
Malaysia;system;Export;Sea;Silvaborough;Machinery;2651;6221.15;08/11/2020;802858;2201.15
Saint Lucia;reason;Export;Sea;Heidimouth;Toys;1292;6671.58;16/11/2022;472831;595.3
Cayman Islands;nature;Export;Sea;Joeberg;Electronics;7519;4297.8;18/04/2021;514984;2821.18
Pitcairn Islands;own;Export;Land;New Jenniferchester;Electronics;6470;6742.54;12/09/2022;806582;158.54
Uruguay;name;Export;Sea;Willisport;Furniture;4427;1793.33;28/12/2022;442437;577.53
Paraguay;rise;Export;Land;West Paul;Furniture;8335;1701.82;23/10/2020;213834;3027.99
Burkina Faso;throw;Export;Sea;Benjaminchester;Clothing;9036;2996.2;18/04/2020;513226;4550.42
Congo;way;Export;Sea;North Monicaport;Machinery;5474;9537.75;29/08/2022;486903;2133.99
Dominican Republic;course;Export;Land;Buchananview;Clothing;7686;1696.92;29/04/2022;265679;4735.28
French Guiana;clearly;Export;Land;Gardnerview;Electronics;3426;1945.14;28/03/2022;316750;284.07
Gibraltar;speech;Export;Land;West Kyleburgh;Clothing;2718;7840.01;18/04/2022;967641;632.74
Saint Vincent and the Grenadines;month;Export;Land;South Emily;Furniture;3188;872.65;09/08/2021;703726;2413.21
Paraguay;accept;Export;Land;New Shaun;Clothing;4222;532.25;09/11/2022;488488;800.24
Tanzania;prove;Export;Sea;Lake Ashley;Machinery;1379;144.27;16/08/2024;478647;427.35
South Africa;season;Export;Sea;Craigview;Electronics;1228;223.71;31/03/2024;436092;4087.67
French Guiana;city;Export;Air;Port Josephburgh;Toys;782;8542.44;25/07/2022;512963;2295.56
Malawi;know;Export;Sea;Elizabethburgh;Electronics;3312;3071.78;02/10/2020;191020;848.92
Cote d'Ivoire;our;Export;Sea;Port Shelia;Toys;2030;9923.65;16/07/2023;536066;4829.93
Nepal;interview;Export;Sea;Michelleview;Toys;8767;3423.48;13/07/2021;433671;1744.13
Nauru;well;Export;Air;Lake Abigailside;Furniture;6445;8847.76;24/04/2021;232623;4746.05
Kiribati;force;Export;Air;Ramosfurt;Toys;2332;5920.74;13/11/2021;820585;285.19
Solomon Islands;interest;Export;Sea;Dannyport;Machinery;5791;2017;19/09/2020;795437;2947.14
Seychelles;charge;Export;Land;Cameronhaven;Toys;8910;5248.46;28/06/2020;783745;1040.21
Cook Islands;local;Export;Sea;Turnerhaven;Toys;6219;3418.26;22/10/2022;153512;4915.01
Peru;doctor;Export;Land;Danieltown;Electronics;6384;2457.28;29/08/2023;659841;4636.68
Holy See (Vatican City State);discussion;Export;Air;Christopherville;Toys;281;4437.3;14/03/2024;317840;2164.04
Holy See (Vatican City State);human;Export;Air;Claytonmouth;Toys;825;8630.43;06/02/2022;737667;357.56
Congo;green;Export;Air;Jesseview;Clothing;2863;5190.2;18/08/2022;729173;3626.3
Madagascar;deep;Export;Air;Langstad;Clothing;7218;1258.16;05/11/2019;633807;2025.69
Vietnam;music;Export;Air;New Kurtview;Furniture;1612;6261.88;28/10/2022;810811;3144.15
Hong Kong;huge;Export;Land;Bruceland;Furniture;5278;712.13;25/07/2024;433306;3845.08
Eritrea;whole;Export;Land;East Lindaland;Toys;3235;331.7;06/10/2020;152539;2195.9
Cayman Islands;inside;Export;Land;Port Joshuaburgh;Machinery;4678;6666.52;27/12/2022;954485;3988.44
Western Sahara;onto;Export;Sea;North Anthony;Toys;4906;9648.67;08/12/2020;619146;1968.82
Mauritania;hot;Export;Land;East Justintown;Furniture;9992;8557.91;08/06/2021;364094;197.69
United States of America;debate;Export;Land;West Sarah;Electronics;7961;9627.25;14/04/2020;848543;2474.04
Portugal;street;Export;Land;Douglasfort;Clothing;5760;9390.52;13/06/2023;899035;1042.92
Bermuda;attorney;Export;Land;Smithshire;Clothing;2659;4543.86;27/06/2024;696889;4934.37
Lesotho;quality;Export;Air;New Amandachester;Electronics;9730;8152.83;06/08/2021;933859;3914.93
Lesotho;simple;Export;Air;Lake Arianamouth;Toys;5637;3254.13;20/01/2021;186781;4082.92
Puerto Rico;community;Export;Sea;Ericmouth;Electronics;7679;7149.94;04/04/2020;620349;1185.37
Korea;theory;Export;Sea;South Suzanneland;Machinery;9536;5950.89;20/07/2021;554152;4274.43
United States Virgin Islands;couple;Export;Air;Popefurt;Clothing;965;4708.53;19/05/2024;412662;1598.87
Madagascar;in;Export;Sea;Fieldsberg;Furniture;4010;5964.84;21/01/2022;698163;2816.56
Mauritania;add;Export;Air;Ronaldmouth;Clothing;5712;1141.32;16/08/2022;937625;4755.39
Italy;continue;Export;Sea;Lake Andrew;Clothing;3002;9341.77;02/02/2022;171665;2600.47
Bouvet Island (Bouvetoya);human;Export;Sea;Joshuaville;Machinery;295;9579.42;28/07/2022;254052;4649.51
Congo;medical;Export;Land;Port Hannah;Machinery;3852;5775.07;02/07/2020;166137;386.56
Turkey;community;Export;Land;Lake Stacy;Machinery;5265;3894.47;21/12/2022;251444;804.72
Sierra Leone;experience;Export;Sea;Hernandezville;Toys;8289;7125.5;21/11/2022;773359;4414.62
Australia;each;Export;Air;Ortizbury;Toys;743;9098.96;07/06/2023;432247;2703.8
British Virgin Islands;police;Export;Air;Woodston;Toys;9044;7119.66;17/03/2020;164122;2063.66
Costa Rica;line;Export;Land;Jasonmouth;Clothing;5525;1450.75;20/09/2022;433845;786.54
Jersey;somebody;Export;Land;Washingtonborough;Electronics;3310;9987.61;22/04/2021;703787;3389.32
Pitcairn Islands;law;Export;Air;New Christophermouth;Clothing;84;4338.2;01/09/2024;111094;625.13
Comoros;perhaps;Export;Sea;Donnastad;Electronics;5380;8941.23;23/11/2020;918932;3724.02
Cyprus;he;Export;Sea;New Krystalport;Clothing;5804;8132.29;28/01/2021;901076;4641.51
Georgia;difficult;Export;Sea;Montesstad;Clothing;70;9038.83;06/11/2020;605066;553.62
Montenegro;everybody;Export;Air;Williamston;Electronics;7107;5865.8;23/01/2024;210372;592.77
Heard Island and McDonald Islands;weight;Export;Air;Dawnton;Furniture;5283;2270.44;22/12/2022;956143;3803.65
Libyan Arab Jamahiriya;benefit;Export;Sea;Lake Heatherfort;Electronics;8007;7519.07;13/03/2024;769449;939.83
Brunei Darussalam;know;Export;Land;Timberg;Clothing;3361;4997.1;26/08/2021;384961;353.39
Cameroon;wait;Export;Air;South Yvette;Toys;9180;8617.67;19/03/2020;901312;2274.88
Costa Rica;easy;Export;Sea;West Kyle;Machinery;2259;6161.03;08/01/2023;867156;1749.22
Anguilla;same;Export;Air;Contrerasmouth;Machinery;2605;3108.25;21/07/2020;423131;951.74
Sri Lanka;know;Export;Land;Brianfort;Machinery;7684;1799.04;06/09/2020;795816;3630.13
Honduras;detail;Export;Sea;Port Jamesport;Electronics;2073;1404.82;04/02/2022;315004;2060.63
Portugal;green;Export;Air;Thompsonmouth;Machinery;7108;7695.33;14/05/2024;839212;2310.23
Kazakhstan;issue;Export;Sea;Seanview;Machinery;7607;9461.62;15/07/2021;768974;2908.61
Nepal;remember;Export;Land;Smithside;Machinery;8327;2105.16;05/05/2021;294674;500.96
Chile;people;Export;Sea;South Sonyatown;Electronics;7880;6493.88;04/08/2023;534005;4319.44
Liberia;provide;Export;Land;Piercemouth;Electronics;7222;3764.41;15/08/2023;196679;1667.05
Mauritania;book;Export;Land;South Crystalborough;Furniture;6631;1642.17;12/03/2021;972297;1024.79
Kenya;site;Export;Land;Elizabethtown;Machinery;8493;3221.63;12/05/2021;144008;2085.33
Reunion;mind;Export;Land;Hodgeshire;Machinery;9374;9188.16;05/05/2021;926906;4311.35
Congo;foreign;Export;Air;Anthonybury;Machinery;6519;8049.6;15/09/2019;343444;4628.45
New Caledonia;garden;Export;Sea;North Garybury;Toys;3612;3977.68;08/03/2023;845044;991.28
Norway;possible;Export;Air;Lake Lisamouth;Clothing;8267;6614.87;12/05/2022;660406;4400.2
Saint Pierre and Miquelon;participant;Export;Sea;Robertborough;Clothing;5471;6973.91;12/04/2022;555812;4224.59
Saudi Arabia;edge;Export;Sea;Port Janet;Furniture;234;4299.55;07/02/2020;926457;1626.74
Bhutan;dream;Export;Land;Port Stephaniestad;Clothing;6236;8752.09;23/06/2022;330839;814.83
Malawi;really;Export;Land;East Rhondaside;Clothing;2700;9000.06;22/12/2020;898053;232.56
Sudan;go;Export;Sea;Goodmanmouth;Furniture;4415;2854.61;27/09/2023;726862;1527.97
Azerbaijan;president;Export;Sea;North Stephaniemouth;Furniture;8759;7353.47;26/06/2023;582556;4293.56
Saint Kitts and Nevis;impact;Export;Sea;North Sarah;Machinery;1340;4263.08;22/11/2020;539877;1600.45
Northern Mariana Islands;ok;Export;Air;West Ashleyside;Toys;1322;7443.81;10/06/2022;726928;862.27
United States Virgin Islands;mind;Export;Land;Port George;Electronics;7841;5514.42;02/01/2024;986158;4215.3
Faroe Islands;look;Export;Air;Andrewside;Electronics;7446;1026.09;04/10/2022;434558;1729.31
